P7 · Murphy decomposition · HEAD=d70eadc7 · python=3.11.15
cell hill d=6 sigma_rel=0.25 · arms=('doe', 'qlogei', 'qlognei', 'lhs', 'sobol', 'random', 'versionb', 'versionb_random', 'versionb_predictive', 'plate1_only')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) · 10 equal-count bins
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 10 arms = 500 campaigns

[ 11/50] sobol    48b1324dd0461cd9 seed=0 regret=0.2305 rows=24 (2.2s)
[ 11/50] random   48b1324dd0461cd9 seed=0 regret=0.2364 rows=24 (2.2s)
[ 11/50] versionb 48b1324dd0461cd9 seed=0 regret=0.1766 rows=24 (3.0s)
[ 11/50] versionb_random 48b1324dd0461cd9 seed=0 regret=0.1766 rows=24 (2.3s)
[ 11/50] versionb_predictive 48b1324dd0461cd9 seed=0 regret=0.1592 rows=24 (2.7s)
[ 11/50] plate1_only 48b1324dd0461cd9 seed=0 regret=0.1158 rows=24 (2.1s)
[ 12/50] doe      48b1324dd0461cd9 seed=1 regret=0.1130 rows=24 (2.1s)
[ 12/50] qlogei   48b1324dd0461cd9 seed=1 regret=0.2472 rows=24 (14.8s)
[ 12/50] qlognei  48b1324dd0461cd9 seed=1 regret=0.1366 rows=24 (14.8s)
[ 12/50] lhs      48b1324dd0461cd9 seed=1 regret=0.0555 rows=24 (2.1s)
[ 12/50] sobol    48b1324dd0461cd9 seed=1 regret=0.0708 rows=24 (2.2s)
[ 12/50] random   48b1324dd0461cd9 seed=1 regret=0.2537 rows=24 (2.0s)
[ 12/50] versionb 48b1324dd0461cd9 seed=1 regret=0.1782 rows=24 (2.7s)
[ 12/50] versionb_random 48b1324dd0461cd9 seed=1 regret=0.1782 rows=24 (2.5s)
[ 12/50] versionb_predictive 48b1324dd0461cd9 seed=1 regret=0.1782 rows=24 (2.8s)
[ 12/50] plate1_only 48b1324dd0461cd9 seed=1 regret=0.0555 rows=24 (2.1s)
[ 13/50] doe      4d4f7158b65b52ba seed=0 regret=0.0875 rows=24 (2.2s)
[ 13/50] qlogei   4d4f7158b65b52ba seed=0 regret=0.2610 rows=24 (15.4s)
[ 13/50] qlognei  4d4f7158b65b52ba seed=0 regret=0.2756 rows=24 (14.2s)
[ 13/50] lhs      4d4f7158b65b52ba seed=0 regret=0.2527 rows=24 (2.2s)
[ 13/50] sobol    4d4f7158b65b52ba seed=0 regret=0.1496 rows=24 (2.2s)
[ 13/50] random   4d4f7158b65b52ba seed=0 regret=0.1900 rows=24 (2.1s)
[ 13/50] versionb 4d4f7158b65b52ba seed=0 regret=0.0698 rows=24 (2.9s)
[ 13/50] versionb_random 4d4f7158b65b52ba seed=0 regret=0.0698 rows=24 (2.3s)
[ 13/50] versionb_predictive 4d4f7158b65b52ba seed=0 regret=0.0494 rows=24 (2.6s)
[ 13/50] plate1_only 4d4f7158b65b52ba seed=0 regret=0.2527 rows=24 (2.0s)
[ 14/50] doe      4d4f7158b65b52ba seed=1 regret=0.1226 rows=24 (2.0s)
[ 14/50] qlogei   4d4f7158b65b52ba seed=1 regret=0.2114 rows=24 (9.3s)
[ 14/50] qlognei  4d4f7158b65b52ba seed=1 regret=0.2653 rows=24 (14.2s)
[ 14/50] lhs      4d4f7158b65b52ba seed=1 regret=0.1621 rows=24 (2.5s)
[ 14/50] sobol    4d4f7158b65b52ba seed=1 regret=0.1029 rows=24 (2.4s)
[ 14/50] random   4d4f7158b65b52ba seed=1 regret=0.1954 rows=24 (2.3s)
[ 14/50] versionb 4d4f7158b65b52ba seed=1 regret=0.2082 rows=24 (3.1s)
[ 14/50] versionb_random 4d4f7158b65b52ba seed=1 regret=0.2082 rows=24 (2.5s)
[ 14/50] versionb_predictive 4d4f7158b65b52ba seed=1 regret=0.2082 rows=24 (3.2s)
[ 14/50] plate1_only 4d4f7158b65b52ba seed=1 regret=0.1621 rows=24 (2.3s)
[ 15/50] doe      51cf489c521a6911 seed=0 regret=0.0760 rows=24 (2.5s)
[ 15/50] qlogei   51cf489c521a6911 seed=0 regret=0.1353 rows=24 (15.9s)
[ 15/50] qlognei  51cf489c521a6911 seed=0 regret=0.0729 rows=24 (17.6s)
[ 15/50] lhs      51cf489c521a6911 seed=0 regret=0.1923 rows=24 (2.2s)
[ 15/50] sobol    51cf489c521a6911 seed=0 regret=0.2315 rows=24 (2.5s)
[ 15/50] random   51cf489c521a6911 seed=0 regret=0.3006 rows=24 (2.6s)
[ 15/50] versionb 51cf489c521a6911 seed=0 regret=0.1908 rows=24 (3.1s)
[ 15/50] versionb_random 51cf489c521a6911 seed=0 regret=0.1908 rows=24 (2.5s)
[ 15/50] versionb_predictive 51cf489c521a6911 seed=0 regret=0.1908 rows=24 (3.2s)
[ 15/50] plate1_only 51cf489c521a6911 seed=0 regret=0.1923 rows=24 (2.4s)
[ 16/50] doe      51cf489c521a6911 seed=1 regret=0.1553 rows=24 (2.5s)
[ 16/50] qlogei   51cf489c521a6911 seed=1 regret=0.3242 rows=24 (13.4s)
[ 16/50] qlognei  51cf489c521a6911 seed=1 regret=0.2210 rows=24 (13.7s)
[ 16/50] lhs      51cf489c521a6911 seed=1 regret=0.2282 rows=24 (2.1s)
[ 16/50] sobol    51cf489c521a6911 seed=1 regret=0.1339 rows=24 (2.3s)
[ 16/50] random   51cf489c521a6911 seed=1 regret=0.2899 rows=24 (2.3s)
[ 16/50] versionb 51cf489c521a6911 seed=1 regret=0.2204 rows=24 (3.0s)
[ 16/50] versionb_random 51cf489c521a6911 seed=1 regret=0.2204 rows=24 (2.3s)
[ 16/50] versionb_predictive 51cf489c521a6911 seed=1 regret=0.2204 rows=24 (3.0s)
[ 16/50] plate1_only 51cf489c521a6911 seed=1 regret=0.2282 rows=24 (2.3s)
[ 17/50] doe      578e5d8768359f0f seed=0 regret=0.1162 rows=24 (2.5s)
[ 17/50] qlogei   578e5d8768359f0f seed=0 regret=0.0960 rows=24 (13.1s)
[ 17/50] qlognei  578e5d8768359f0f seed=0 regret=0.0796 rows=24 (12.1s)
[ 17/50] lhs      578e5d8768359f0f seed=0 regret=0.0725 rows=24 (2.3s)
[ 17/50] sobol    578e5d8768359f0f seed=0 regret=0.2479 rows=24 (2.3s)
[ 17/50] random   578e5d8768359f0f seed=0 regret=0.2701 rows=24 (2.5s)
[ 17/50] versionb 578e5d8768359f0f seed=0 regret=0.1000 rows=24 (3.1s)
[ 17/50] versionb_random 578e5d8768359f0f seed=0 regret=0.1865 rows=24 (2.5s)
[ 17/50] versionb_predictive 578e5d8768359f0f seed=0 regret=0.0859 rows=24 (3.2s)
[ 17/50] plate1_only 578e5d8768359f0f seed=0 regret=0.0725 rows=24 (2.3s)
[ 18/50] doe      578e5d8768359f0f seed=1 regret=0.0927 rows=24 (2.4s)
[ 18/50] qlogei   578e5d8768359f0f seed=1 regret=0.1037 rows=24 (11.9s)
[ 18/50] qlognei  578e5d8768359f0f seed=1 regret=0.1037 rows=24 (15.3s)
[ 18/50] lhs      578e5d8768359f0f seed=1 regret=0.0194 rows=24 (2.1s)
[ 18/50] sobol    578e5d8768359f0f seed=1 regret=0.1037 rows=24 (2.1s)
[ 18/50] random   578e5d8768359f0f seed=1 regret=0.1112 rows=24 (2.2s)
[ 18/50] versionb 578e5d8768359f0f seed=1 regret=0.1365 rows=24 (3.0s)
[ 18/50] versionb_random 578e5d8768359f0f seed=1 regret=0.1365 rows=24 (2.3s)
[ 18/50] versionb_predictive 578e5d8768359f0f seed=1 regret=0.1365 rows=24 (2.9s)
[ 18/50] plate1_only 578e5d8768359f0f seed=1 regret=0.0194 rows=24 (2.2s)
[ 19/50] doe      59e420274f4385d9 seed=0 regret=0.1019 rows=24 (2.3s)
[ 19/50] qlogei   59e420274f4385d9 seed=0 regret=0.1876 rows=24 (16.6s)
[ 19/50] qlognei  59e420274f4385d9 seed=0 regret=0.1196 rows=24 (12.6s)
[ 19/50] lhs      59e420274f4385d9 seed=0 regret=0.0734 rows=24 (2.1s)
[ 19/50] sobol    59e420274f4385d9 seed=0 regret=0.1420 rows=24 (2.1s)
[ 19/50] random   59e420274f4385d9 seed=0 regret=0.2412 rows=24 (2.1s)
[ 19/50] versionb 59e420274f4385d9 seed=0 regret=0.1327 rows=24 (3.0s)
[ 19/50] versionb_random 59e420274f4385d9 seed=0 regret=0.1327 rows=24 (2.4s)
[ 19/50] versionb_predictive 59e420274f4385d9 seed=0 regret=0.1327 rows=24 (3.1s)
[ 19/50] plate1_only 59e420274f4385d9 seed=0 regret=0.0734 rows=24 (2.3s)
[ 20/50] doe      59e420274f4385d9 seed=1 regret=0.0848 rows=24 (2.4s)
[ 20/50] qlogei   59e420274f4385d9 seed=1 regret=0.2345 rows=24 (12.6s)
[ 20/50] qlognei  59e420274f4385d9 seed=1 regret=0.2580 rows=24 (11.7s)
