path,directory,tube,events,status,control,cd31_detector,cd31_pct,cd31_threshold,cd31_pct_p95,cd31_pct_p99_9,cd31_spread_pp,cd140a_detector,cd140a_pct
raw/flow/2026-07-21/sunny-p3-1.fcs,raw/flow/2026-07-21,sunny-p3-1,18193,gated_candidate,US.fcs,B525-A,69.9225,51325.31,73.3909,65.1349,8.2559,Y585-A,0.9289
raw/flow/2026-07-21/sunny-p3.fcs,raw/flow/2026-07-21,sunny-p3,22249,gated_candidate,US.fcs,B525-A,54.9957,51325.31,59.1487,52.3035,6.8453,Y585-A,0.7461
raw/flow/2026-07-21/us-2.fcs,raw/flow/2026-07-21,us-2,18089,control,,,,,,,,,
raw/flow/2026-07-21/us-23.fcs,raw/flow/2026-07-21,us-23,19180,control,,,,,,,,,
raw/flow/2026-07-28/Exp_20260728_1/BEFORE2.fcs,raw/flow/2026-07-28/Exp_20260728_1,BEFORE2,20667,control,,,,,,,,,
raw/flow/2026-07-28/Exp_20260728_1/Before.fcs,raw/flow/2026-07-28/Exp_20260728_1,Before,20691,control,,,,,,,,,
raw/flow/2026-07-28/Exp_20260728_1/CD31+.fcs,raw/flow/2026-07-28/Exp_20260728_1,CD31+,36586,gated_candidate,US.fcs,B525-A,24.411,12244.6,26.8655,20.9998,5.8656,Y585-A,5.7372
raw/flow/2026-07-28/Exp_20260728_1/CD31+P3.fcs,raw/flow/2026-07-28/Exp_20260728_1,CD31+P3,29284,gated_candidate,US.fcs,B525-A,49.6653,12244.6,53.6539,46.4417,7.2121,Y585-A,7.4273
raw/flow/2026-07-28/Exp_20260728_1/CD31-.fcs,raw/flow/2026-07-28/Exp_20260728_1,CD31-,15736,gated_candidate,US.fcs,B525-A,2.561,12244.6,12.7796,0.3368,12.4428,Y585-A,0.985
raw/flow/2026-07-28/Exp_20260728_1/ISO.fcs,raw/flow/2026-07-28/Exp_20260728_1,ISO,15529,control,,,,,,,,,
raw/flow/2026-07-28/Exp_20260728_1/US.fcs,raw/flow/2026-07-28/Exp_20260728_1,US,15510,control,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_1/3-1.fcs,raw/flow/2026-08-06/Exp_20260806_1,3-1,21994,gated_candidate,US-new.fcs,B525-A,4.7558,27155.24,9.5208,2.4552,7.0656,Y585-A,0.6411
raw/flow/2026-08-06/Exp_20260806_1/US-new.fcs,raw/flow/2026-08-06/Exp_20260806_1,US-new,34637,control,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_1/US-old.fcs,raw/flow/2026-08-06/Exp_20260806_1,US-old,20314,control,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_1/well 1.fcs,raw/flow/2026-08-06/Exp_20260806_1,well 1,30561,gated_candidate,US-new.fcs,B525-A,7.2118,27155.24,12.9217,2.0582,10.8635,Y585-A,0.2781
raw/flow/2026-08-06/Exp_20260806_1/well 2.fcs,raw/flow/2026-08-06/Exp_20260806_1,well 2,32231,gated_candidate,US-new.fcs,B525-A,1.753,27155.24,5.7057,0.3971,5.3086,Y585-A,0.3537
raw/flow/2026-08-06/Exp_20260806_1/well 3.fcs,raw/flow/2026-08-06/Exp_20260806_1,well 3,38959,gated_candidate,US-new.fcs,B525-A,8.5551,27155.24,15.3931,3.1366,12.2565,Y585-A,0.5878
raw/flow/2026-08-06/Exp_20260806_1/well 4.fcs,raw/flow/2026-08-06/Exp_20260806_1,well 4,36247,gated_candidate,US-new.fcs,B525-A,2.1574,27155.24,6.6792,0.5407,6.1384,Y585-A,0.4442
raw/flow/2026-08-06/Exp_20260806_1/well 5.fcs,raw/flow/2026-08-06/Exp_20260806_1,well 5,25312,gated_candidate,US-new.fcs,B525-A,7.8461,27155.24,13.1124,3.5319,9.5804,Y585-A,0.1857
raw/flow/2026-08-06/Exp_20260806_2/3-1.fcs,raw/flow/2026-08-06/Exp_20260806_2,3-1,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/US-new.fcs,raw/flow/2026-08-06/Exp_20260806_2,US-new,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/US-old.fcs,raw/flow/2026-08-06/Exp_20260806_2,US-old,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/well 1.fcs,raw/flow/2026-08-06/Exp_20260806_2,well 1,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/well 2.fcs,raw/flow/2026-08-06/Exp_20260806_2,well 2,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/well 3.fcs,raw/flow/2026-08-06/Exp_20260806_2,well 3,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/well 4.fcs,raw/flow/2026-08-06/Exp_20260806_2,well 4,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_2/well 5.fcs,raw/flow/2026-08-06/Exp_20260806_2,well 5,0,aborted_zero_events,,,,,,,,,
raw/flow/2026-08-06/Exp_20260806_cd31-cd140a/f0.5.fcs,raw/flow/2026-08-06/Exp_20260806_cd31-cd140a,f0.5,25897,gated_candidate,us.fcs,B525-A,31.6948,16332.86,38.3712,27.5978,10.7734,Y585-A,6.4061
