Version C section 4's registered prediction · hartmann6 vs hill
  hartmann6 is multimodal with disconnected superlevel sets, so a single inscribed box is bounded by the largest component; hill is unimodal and has one component, so the decomposition has nothing to recover

[ 118/300] hill        versionb   d=6 s=0.1 seed=14 comps 1..2 (1.9s)
[ 119/300] hill        lhs        d=6 s=0.1 seed=14 comps 1..8 (1.8s)
[ 120/300] hill        qlognei    d=6 s=0.1 seed=14 comps 1..8 (11.2s)
[ 121/300] hill        versionb   d=6 s=0.1 seed=15 comps 1..1 (2.2s)
[ 122/300] hill        lhs        d=6 s=0.1 seed=15 comps 1..2 (1.7s)
[ 123/300] hill        qlognei    d=6 s=0.1 seed=15 comps 1..11 (9.6s)
[ 124/300] hill        versionb   d=6 s=0.1 seed=16 comps 1..3 (1.9s)
[ 125/300] hill        lhs        d=6 s=0.1 seed=16 comps 1..1 (1.4s)
[ 126/300] hill        qlognei    d=6 s=0.1 seed=16 comps 1..2 (8.8s)
[ 127/300] hill        versionb   d=6 s=0.1 seed=17 comps 1..2 (1.9s)
[ 128/300] hill        lhs        d=6 s=0.1 seed=17 comps 1..5 (1.6s)
[ 129/300] hill        qlognei    d=6 s=0.1 seed=17 comps 1..9 (9.3s)
[ 130/300] hill        versionb   d=6 s=0.1 seed=18 comps 0..11 (2.3s)
[ 131/300] hill        lhs        d=6 s=0.1 seed=18 comps 1..2 (1.6s)
[ 132/300] hill        qlognei    d=6 s=0.1 seed=18 comps 1..11 (13.0s)
[ 133/300] hill        versionb   d=6 s=0.1 seed=19 comps 0..1 (1.8s)
[ 134/300] hill        lhs        d=6 s=0.1 seed=19 comps 1..3 (1.6s)
[ 135/300] hill        qlognei    d=6 s=0.1 seed=19 comps 1..10 (9.8s)
[ 136/300] hill        versionb   d=6 s=0.1 seed=20 comps 0..1 (1.9s)
[ 137/300] hill        lhs        d=6 s=0.1 seed=20 comps 1..4 (1.6s)
[ 138/300] hill        qlognei    d=6 s=0.1 seed=20 comps 2..19 (11.2s)
[ 139/300] hill        versionb   d=6 s=0.1 seed=21 comps 1..2 (2.1s)
[ 140/300] hill        lhs        d=6 s=0.1 seed=21 comps 0..14 (1.9s)
[ 141/300] hill        qlognei    d=6 s=0.1 seed=21 comps 1..6 (10.2s)
[ 142/300] hill        versionb   d=6 s=0.1 seed=22 comps 1..2 (2.1s)
[ 143/300] hill        lhs        d=6 s=0.1 seed=22 comps 1..4 (1.7s)
[ 144/300] hill        qlognei    d=6 s=0.1 seed=22 comps 1..4 (7.2s)
[ 145/300] hill        versionb   d=6 s=0.1 seed=23 comps 1..6 (2.2s)
[ 146/300] hill        lhs        d=6 s=0.1 seed=23 comps 1..3 (1.6s)
[ 147/300] hill        qlognei    d=6 s=0.1 seed=23 comps 1..8 (12.6s)
[ 148/300] hill        versionb   d=6 s=0.1 seed=24 comps 0..1 (2.0s)
[ 149/300] hill        lhs        d=6 s=0.1 seed=24 comps 0..1 (1.6s)
[ 150/300] hill        qlognei    d=6 s=0.1 seed=24 comps 1..2 (8.5s)
[ 151/300] hartmann6   versionb   d=6 s=0.25 seed=0 comps 0..0 (1.3s)
[ 152/300] hartmann6   lhs        d=6 s=0.25 seed=0 comps 0..0 (0.9s)
[ 153/300] hartmann6   qlognei    d=6 s=0.25 seed=0 comps 0..3 (11.2s)
[ 154/300] hartmann6   versionb   d=6 s=0.25 seed=1 comps 0..0 (1.3s)
[ 155/300] hartmann6   lhs        d=6 s=0.25 seed=1 comps 0..0 (0.9s)
[ 156/300] hartmann6   qlognei    d=6 s=0.25 seed=1 comps 0..0 (9.7s)
[ 157/300] hartmann6   versionb   d=6 s=0.25 seed=2 comps 0..0 (1.3s)
[ 158/300] hartmann6   lhs        d=6 s=0.25 seed=2 comps 0..0 (0.9s)
[ 159/300] hartmann6   qlognei    d=6 s=0.25 seed=2 comps 0..0 (8.9s)
[ 160/300] hartmann6   versionb   d=6 s=0.25 seed=3 comps 0..0 (1.3s)
[ 161/300] hartmann6   lhs        d=6 s=0.25 seed=3 comps 0..0 (0.9s)
[ 162/300] hartmann6   qlognei    d=6 s=0.25 seed=3 comps 0..2 (9.8s)
[ 163/300] hartmann6   versionb   d=6 s=0.25 seed=4 comps 0..0 (1.3s)
[ 164/300] hartmann6   lhs        d=6 s=0.25 seed=4 comps 0..0 (0.9s)
[ 165/300] hartmann6   qlognei    d=6 s=0.25 seed=4 comps 0..0 (8.3s)
[ 166/300] hartmann6   versionb   d=6 s=0.25 seed=5 comps 0..0 (1.3s)
[ 167/300] hartmann6   lhs        d=6 s=0.25 seed=5 comps 0..0 (0.9s)
[ 168/300] hartmann6   qlognei    d=6 s=0.25 seed=5 comps 0..0 (12.0s)
[ 169/300] hartmann6   versionb   d=6 s=0.25 seed=6 comps 0..0 (1.4s)
[ 170/300] hartmann6   lhs        d=6 s=0.25 seed=6 comps 0..0 (0.9s)
[ 171/300] hartmann6   qlognei    d=6 s=0.25 seed=6 comps 0..0 (9.3s)
[ 172/300] hartmann6   versionb   d=6 s=0.25 seed=7 comps 0..0 (1.3s)
[ 173/300] hartmann6   lhs        d=6 s=0.25 seed=7 comps 0..0 (0.9s)
[ 174/300] hartmann6   qlognei    d=6 s=0.25 seed=7 comps 0..0 (9.8s)
[ 175/300] hartmann6   versionb   d=6 s=0.25 seed=8 comps 0..0 (1.3s)
[ 176/300] hartmann6   lhs        d=6 s=0.25 seed=8 comps 0..0 (0.9s)
[ 177/300] hartmann6   qlognei    d=6 s=0.25 seed=8 comps 0..0 (8.3s)
[ 178/300] hartmann6   versionb   d=6 s=0.25 seed=9 comps 0..0 (1.4s)
[ 179/300] hartmann6   lhs        d=6 s=0.25 seed=9 comps 0..0 (0.9s)
[ 180/300] hartmann6   qlognei    d=6 s=0.25 seed=9 comps 0..0 (8.6s)
[ 181/300] hartmann6   versionb   d=6 s=0.25 seed=10 comps 0..0 (1.4s)
[ 182/300] hartmann6   lhs        d=6 s=0.25 seed=10 comps 0..0 (0.9s)
[ 183/300] hartmann6   qlognei    d=6 s=0.25 seed=10 comps 0..0 (9.0s)
[ 184/300] hartmann6   versionb   d=6 s=0.25 seed=11 comps 0..0 (1.4s)
[ 185/300] hartmann6   lhs        d=6 s=0.25 seed=11 comps 0..0 (0.9s)
[ 186/300] hartmann6   qlognei    d=6 s=0.25 seed=11 comps 0..0 (6.6s)
[ 187/300] hartmann6   versionb   d=6 s=0.25 seed=12 comps 0..0 (1.3s)
[ 188/300] hartmann6   lhs        d=6 s=0.25 seed=12 comps 0..0 (0.9s)
