/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
spade-final-2026-08-23 · C1 · hill d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[ 121/1100] doe                  48b1324dd046 seed=0   rows=12 (5.5m, eta 45m)
[ 122/1100] spade_cf_m0          48b1324dd046 seed=1   rows=12 (5.6m, eta 45m)
[ 123/1100] spade_cf_m4          48b1324dd046 seed=1   rows=12 (5.6m, eta 45m)
[ 124/1100] spade_cf_m8          48b1324dd046 seed=1   rows=12 (5.6m, eta 44m)
[ 125/1100] spade_plate1_only    48b1324dd046 seed=1   rows=12 (5.7m, eta 44m)
[ 126/1100] spade_random_plate2  48b1324dd046 seed=1   rows=12 (5.7m, eta 44m)
[ 127/1100] sobol                48b1324dd046 seed=1   rows=12 (5.7m, eta 44m)
[ 128/1100] lhs                  48b1324dd046 seed=1   rows=12 (5.8m, eta 44m)
[ 129/1100] random               48b1324dd046 seed=1   rows=12 (5.8m, eta 44m)
[ 130/1100] qlognei              48b1324dd046 seed=1   rows=12 (5.9m, eta 44m)
[ 131/1100] qlogei               48b1324dd046 seed=1   rows=12 (6.0m, eta 45m)
[ 132/1100] doe                  48b1324dd046 seed=1   rows=12 (6.1m, eta 44m)
[ 133/1100] spade_cf_m0          4d4f7158b65b seed=0   rows=12 (6.1m, eta 44m)
[ 134/1100] spade_cf_m4          4d4f7158b65b seed=0   rows=12 (6.1m, eta 44m)
[ 135/1100] spade_cf_m8          4d4f7158b65b seed=0   rows=12 (6.1m, eta 44m)
[ 136/1100] spade_plate1_only    4d4f7158b65b seed=0   rows=12 (6.2m, eta 44m)
[ 137/1100] spade_random_plate2  4d4f7158b65b seed=0   rows=12 (6.2m, eta 44m)
[ 138/1100] sobol                4d4f7158b65b seed=0   rows=12 (6.2m, eta 43m)
[ 139/1100] lhs                  4d4f7158b65b seed=0   rows=12 (6.3m, eta 43m)
[ 140/1100] random               4d4f7158b65b seed=0   rows=12 (6.3m, eta 43m)
[ 141/1100] qlognei              4d4f7158b65b seed=0   rows=12 (6.4m, eta 43m)
[ 142/1100] qlogei               4d4f7158b65b seed=0   rows=12 (6.5m, eta 44m)
[ 143/1100] doe                  4d4f7158b65b seed=0   rows=12 (6.5m, eta 44m)
[ 144/1100] spade_cf_m0          4d4f7158b65b seed=1   rows=12 (6.6m, eta 44m)
[ 145/1100] spade_cf_m4          4d4f7158b65b seed=1   rows=12 (6.6m, eta 43m)
[ 146/1100] spade_cf_m8          4d4f7158b65b seed=1   rows=12 (6.6m, eta 43m)
[ 147/1100] spade_plate1_only    4d4f7158b65b seed=1   rows=12 (6.6m, eta 43m)
[ 148/1100] spade_random_plate2  4d4f7158b65b seed=1   rows=12 (6.7m, eta 43m)
[ 149/1100] sobol                4d4f7158b65b seed=1   rows=12 (6.7m, eta 43m)
[ 150/1100] lhs                  4d4f7158b65b seed=1   rows=12 (6.7m, eta 43m)
[ 151/1100] random               4d4f7158b65b seed=1   rows=12 (6.8m, eta 42m)
[ 152/1100] qlognei              4d4f7158b65b seed=1   rows=12 (6.8m, eta 43m)
[ 153/1100] qlogei               4d4f7158b65b seed=1   rows=12 (6.9m, eta 43m)
[ 154/1100] doe                  4d4f7158b65b seed=1   rows=12 (7.0m, eta 43m)
[ 155/1100] spade_cf_m0          51cf489c521a seed=0   rows=12 (7.0m, eta 43m)
[ 156/1100] spade_cf_m4          51cf489c521a seed=0   rows=12 (7.0m, eta 42m)
[ 157/1100] spade_cf_m8          51cf489c521a seed=0   rows=12 (7.0m, eta 42m)
[ 158/1100] spade_plate1_only    51cf489c521a seed=0   rows=12 (7.1m, eta 42m)
[ 159/1100] spade_random_plate2  51cf489c521a seed=0   rows=12 (7.1m, eta 42m)
[ 160/1100] sobol                51cf489c521a seed=0   rows=12 (7.1m, eta 42m)
[ 161/1100] lhs                  51cf489c521a seed=0   rows=12 (7.1m, eta 42m)
[ 162/1100] random               51cf489c521a seed=0   rows=12 (7.2m, eta 42m)
[ 163/1100] qlognei              51cf489c521a seed=0   rows=12 (7.3m, eta 42m)
[ 164/1100] qlogei               51cf489c521a seed=0   rows=12 (7.4m, eta 42m)
[ 165/1100] doe                  51cf489c521a seed=0   rows=12 (7.4m, eta 42m)
[ 166/1100] spade_cf_m0          51cf489c521a seed=1   rows=12 (7.5m, eta 42m)
[ 167/1100] spade_cf_m4          51cf489c521a seed=1   rows=12 (7.5m, eta 42m)
[ 168/1100] spade_cf_m8          51cf489c521a seed=1   rows=12 (7.5m, eta 42m)
[ 169/1100] spade_plate1_only    51cf489c521a seed=1   rows=12 (7.5m, eta 42m)
[ 170/1100] spade_random_plate2  51cf489c521a seed=1   rows=12 (7.6m, eta 41m)
[ 171/1100] sobol                51cf489c521a seed=1   rows=12 (7.6m, eta 41m)
[ 172/1100] lhs                  51cf489c521a seed=1   rows=12 (7.6m, eta 41m)
[ 173/1100] random               51cf489c521a seed=1   rows=12 (7.7m, eta 41m)
[ 174/1100] qlognei              51cf489c521a seed=1   rows=12 (7.7m, eta 41m)
[ 175/1100] qlogei               51cf489c521a seed=1   rows=12 (7.8m, eta 41m)
[ 176/1100] doe                  51cf489c521a seed=1   rows=12 (7.9m, eta 41m)
[ 177/1100] spade_cf_m0          578e5d876835 seed=0   rows=12 (7.9m, eta 41m)
[ 178/1100] spade_cf_m4          578e5d876835 seed=0   rows=12 (7.9m, eta 41m)
[ 179/1100] spade_cf_m8          578e5d876835 seed=0   rows=12 (7.9m, eta 41m)
[ 180/1100] spade_plate1_only    578e5d876835 seed=0   rows=12 (8.0m, eta 41m)
[ 181/1100] spade_random_plate2  578e5d876835 seed=0   rows=12 (8.0m, eta 41m)
[ 182/1100] sobol                578e5d876835 seed=0   rows=12 (8.0m, eta 40m)
[ 183/1100] lhs                  578e5d876835 seed=0   rows=12 (8.0m, eta 40m)
[ 184/1100] random               578e5d876835 seed=0   rows=12 (8.1m, eta 40m)
[ 185/1100] qlognei              578e5d876835 seed=0   rows=12 (8.1m, eta 40m)
[ 186/1100] qlogei               578e5d876835 seed=0   rows=12 (8.2m, eta 41m)
[ 187/1100] doe                  578e5d876835 seed=0   rows=12 (8.3m, eta 40m)
[ 188/1100] spade_cf_m0          578e5d876835 seed=1   rows=12 (8.3m, eta 40m)
[ 189/1100] spade_cf_m4          578e5d876835 seed=1   rows=12 (8.3m, eta 40m)
[ 190/1100] spade_cf_m8          578e5d876835 seed=1   rows=12 (8.4m, eta 40m)
[ 191/1100] spade_plate1_only    578e5d876835 seed=1   rows=12 (8.4m, eta 40m)
[ 192/1100] spade_random_plate2  578e5d876835 seed=1   rows=12 (8.4m, eta 40m)
[ 193/1100] sobol                578e5d876835 seed=1   rows=12 (8.4m, eta 40m)
[ 194/1100] lhs                  578e5d876835 seed=1   rows=12 (8.5m, eta 40m)
[ 195/1100] random               578e5d876835 seed=1   rows=12 (8.5m, eta 39m)
[ 196/1100] qlognei              578e5d876835 seed=1   rows=12 (8.6m, eta 40m)
[ 197/1100] qlogei               578e5d876835 seed=1   rows=12 (8.7m, eta 40m)
[ 198/1100] doe                  578e5d876835 seed=1   rows=12 (8.7m, eta 40m)
[ 199/1100] spade_cf_m0          59e420274f43 seed=0   rows=12 (8.8m, eta 40m)
[ 200/1100] spade_cf_m4          59e420274f43 seed=0   rows=12 (8.8m, eta 40m)
[ 201/1100] spade_cf_m8          59e420274f43 seed=0   rows=12 (8.8m, eta 39m)
[ 202/1100] spade_plate1_only    59e420274f43 seed=0   rows=12 (8.9m, eta 39m)
[ 203/1100] spade_random_plate2  59e420274f43 seed=0   rows=12 (8.9m, eta 39m)
[ 204/1100] sobol                59e420274f43 seed=0   rows=12 (8.9m, eta 39m)
[ 205/1100] lhs                  59e420274f43 seed=0   rows=12 (8.9m, eta 39m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)

[ 206/1100] random               59e420274f43 seed=0   rows=12 (9.0m, eta 39m)
[ 207/1100] qlognei              59e420274f43 seed=0   rows=12 (9.1m, eta 39m)
[ 208/1100] qlogei               59e420274f43 seed=0   rows=12 (9.2m, eta 39m)
[ 209/1100] doe                  59e420274f43 seed=0   rows=12 (9.2m, eta 39m)
[ 210/1100] spade_cf_m0          59e420274f43 seed=1   rows=12 (9.2m, eta 39m)
[ 211/1100] spade_cf_m4          59e420274f43 seed=1   rows=12 (9.3m, eta 39m)
[ 212/1100] spade_cf_m8          59e420274f43 seed=1   rows=12 (9.3m, eta 39m)
[ 213/1100] spade_plate1_only    59e420274f43 seed=1   rows=12 (9.3m, eta 39m)
[ 214/1100] spade_random_plate2  59e420274f43 seed=1   rows=12 (9.3m, eta 39m)
[ 215/1100] sobol                59e420274f43 seed=1   rows=12 (9.4m, eta 39m)
[ 216/1100] lhs                  59e420274f43 seed=1   rows=12 (9.4m, eta 38m)
[ 217/1100] random               59e420274f43 seed=1   rows=12 (9.4m, eta 38m)
[ 218/1100] qlognei              59e420274f43 seed=1   rows=12 (9.5m, eta 38m)
[ 219/1100] qlogei               59e420274f43 seed=1   rows=12 (9.6m, eta 39m)
[ 220/1100] doe                  59e420274f43 seed=1   rows=12 (9.6m, eta 39m)
[ 221/1100] spade_cf_m0          5b3926ef2c5f seed=0   rows=12 (9.7m, eta 38m)
[ 222/1100] spade_cf_m4          5b3926ef2c5f seed=0   rows=12 (9.7m, eta 38m)
[ 223/1100] spade_cf_m8          5b3926ef2c5f seed=0   rows=12 (9.7m, eta 38m)
[ 224/1100] spade_plate1_only    5b3926ef2c5f seed=0   rows=12 (9.7m, eta 38m)
[ 225/1100] spade_random_plate2  5b3926ef2c5f seed=0   rows=12 (9.8m, eta 38m)
[ 226/1100] sobol                5b3926ef2c5f seed=0   rows=12 (9.8m, eta 38m)
[ 227/1100] lhs                  5b3926ef2c5f seed=0   rows=12 (9.8m, eta 38m)
[ 228/1100] random               5b3926ef2c5f seed=0   rows=12 (9.9m, eta 38m)
[ 229/1100] qlognei              5b3926ef2c5f seed=0   rows=12 (10.0m, eta 38m)
[ 230/1100] qlogei               5b3926ef2c5f seed=0   rows=12 (10.1m, eta 38m)
[ 231/1100] doe                  5b3926ef2c5f seed=0   rows=12 (10.1m, eta 38m)
[ 232/1100] spade_cf_m0          5b3926ef2c5f seed=1   rows=12 (10.2m, eta 38m)
[ 233/1100] spade_cf_m4          5b3926ef2c5f seed=1   rows=12 (10.2m, eta 38m)
[ 234/1100] spade_cf_m8          5b3926ef2c5f seed=1   rows=12 (10.2m, eta 38m)
[ 235/1100] spade_plate1_only    5b3926ef2c5f seed=1   rows=12 (10.3m, eta 38m)
[ 236/1100] spade_random_plate2  5b3926ef2c5f seed=1   rows=12 (10.3m, eta 38m)
[ 237/1100] sobol                5b3926ef2c5f seed=1   rows=12 (10.3m, eta 38m)
[ 238/1100] lhs                  5b3926ef2c5f seed=1   rows=12 (10.3m, eta 37m)
[ 239/1100] random               5b3926ef2c5f seed=1   rows=12 (10.4m, eta 37m)
[ 240/1100] qlognei              5b3926ef2c5f seed=1   rows=12 (10.4m, eta 37m)
[ 241/1100] qlogei               5b3926ef2c5f seed=1   rows=12 (10.5m, eta 37m)
