spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[ 168/1100] spade_cf_m8          51cf489c521a seed=1   rows=12 (8.9m, eta 49m)
[ 169/1100] spade_plate1_only    51cf489c521a seed=1   rows=12 (8.9m, eta 49m)
[ 170/1100] spade_random_plate2  51cf489c521a seed=1   rows=12 (8.9m, eta 49m)
[ 171/1100] sobol                51cf489c521a seed=1   rows=12 (9.0m, eta 49m)
[ 172/1100] lhs                  51cf489c521a seed=1   rows=12 (9.0m, eta 48m)
[ 173/1100] random               51cf489c521a seed=1   rows=12 (9.0m, eta 48m)
[ 174/1100] qlognei              51cf489c521a seed=1   rows=12 (9.2m, eta 49m)
[ 175/1100] qlogei               51cf489c521a seed=1   rows=12 (9.4m, eta 49m)
[ 176/1100] doe                  51cf489c521a seed=1   rows=12 (9.4m, eta 49m)
[ 177/1100] spade_cf_m0          578e5d876835 seed=0   rows=12 (9.4m, eta 49m)
[ 178/1100] spade_cf_m4          578e5d876835 seed=0   rows=12 (9.5m, eta 49m)
[ 179/1100] spade_cf_m8          578e5d876835 seed=0   rows=12 (9.5m, eta 49m)
[ 180/1100] spade_plate1_only    578e5d876835 seed=0   rows=12 (9.5m, eta 49m)
[ 181/1100] spade_random_plate2  578e5d876835 seed=0   rows=12 (9.6m, eta 49m)
[ 182/1100] sobol                578e5d876835 seed=0   rows=12 (9.6m, eta 48m)
[ 183/1100] lhs                  578e5d876835 seed=0   rows=12 (9.6m, eta 48m)
[ 184/1100] random               578e5d876835 seed=0   rows=12 (9.6m, eta 48m)
[ 185/1100] qlognei              578e5d876835 seed=0   rows=12 (9.8m, eta 48m)
[ 186/1100] qlogei               578e5d876835 seed=0   rows=12 (9.9m, eta 49m)
[ 187/1100] doe                  578e5d876835 seed=0   rows=12 (9.9m, eta 49m)
[ 188/1100] spade_cf_m0          578e5d876835 seed=1   rows=12 (10.0m, eta 48m)
[ 189/1100] spade_cf_m4          578e5d876835 seed=1   rows=12 (10.0m, eta 48m)
[ 190/1100] spade_cf_m8          578e5d876835 seed=1   rows=12 (10.0m, eta 48m)
[ 191/1100] spade_plate1_only    578e5d876835 seed=1   rows=12 (10.1m, eta 48m)
[ 192/1100] spade_random_plate2  578e5d876835 seed=1   rows=12 (10.1m, eta 48m)
[ 193/1100] sobol                578e5d876835 seed=1   rows=12 (10.1m, eta 48m)
[ 194/1100] lhs                  578e5d876835 seed=1   rows=12 (10.2m, eta 47m)
[ 195/1100] random               578e5d876835 seed=1   rows=12 (10.2m, eta 47m)
[ 196/1100] qlognei              578e5d876835 seed=1   rows=12 (10.4m, eta 48m)
[ 197/1100] qlogei               578e5d876835 seed=1   rows=12 (10.5m, eta 48m)
[ 198/1100] doe                  578e5d876835 seed=1   rows=12 (10.5m, eta 48m)
[ 199/1100] spade_cf_m0          59e420274f43 seed=0   rows=12 (10.5m, eta 48m)
[ 200/1100] spade_cf_m4          59e420274f43 seed=0   rows=12 (10.6m, eta 48m)
[ 201/1100] spade_cf_m8          59e420274f43 seed=0   rows=12 (10.6m, eta 47m)
[ 202/1100] spade_plate1_only    59e420274f43 seed=0   rows=12 (10.6m, eta 47m)
[ 203/1100] spade_random_plate2  59e420274f43 seed=0   rows=12 (10.7m, eta 47m)
[ 204/1100] sobol                59e420274f43 seed=0   rows=12 (10.7m, eta 47m)
[ 205/1100] lhs                  59e420274f43 seed=0   rows=12 (10.7m, eta 47m)
[ 206/1100] random               59e420274f43 seed=0   rows=12 (10.8m, eta 47m)
[ 207/1100] qlognei              59e420274f43 seed=0   rows=12 (10.9m, eta 47m)
[ 208/1100] qlogei               59e420274f43 seed=0   rows=12 (11.0m, eta 47m)
[ 209/1100] doe                  59e420274f43 seed=0   rows=12 (11.1m, eta 47m)
[ 210/1100] spade_cf_m0          59e420274f43 seed=1   rows=12 (11.1m, eta 47m)
[ 211/1100] spade_cf_m4          59e420274f43 seed=1   rows=12 (11.1m, eta 47m)
[ 212/1100] spade_cf_m8          59e420274f43 seed=1   rows=12 (11.2m, eta 47m)
[ 213/1100] spade_plate1_only    59e420274f43 seed=1   rows=12 (11.2m, eta 47m)
[ 214/1100] spade_random_plate2  59e420274f43 seed=1   rows=12 (11.2m, eta 47m)
[ 215/1100] sobol                59e420274f43 seed=1   rows=12 (11.3m, eta 46m)
[ 216/1100] lhs                  59e420274f43 seed=1   rows=12 (11.3m, eta 46m)
[ 217/1100] random               59e420274f43 seed=1   rows=12 (11.3m, eta 46m)
[ 218/1100] qlognei              59e420274f43 seed=1   rows=12 (11.5m, eta 46m)
[ 219/1100] qlogei               59e420274f43 seed=1   rows=12 (11.6m, eta 47m)
[ 220/1100] doe                  59e420274f43 seed=1   rows=12 (11.7m, eta 47m)
[ 221/1100] spade_cf_m0          5b3926ef2c5f seed=0   rows=12 (11.7m, eta 47m)
[ 222/1100] spade_cf_m4          5b3926ef2c5f seed=0   rows=12 (11.7m, eta 46m)
[ 223/1100] spade_cf_m8          5b3926ef2c5f seed=0   rows=12 (11.8m, eta 46m)
[ 224/1100] spade_plate1_only    5b3926ef2c5f seed=0   rows=12 (11.8m, eta 46m)
[ 225/1100] spade_random_plate2  5b3926ef2c5f seed=0   rows=12 (11.8m, eta 46m)
[ 226/1100] sobol                5b3926ef2c5f seed=0   rows=12 (11.9m, eta 46m)
[ 227/1100] lhs                  5b3926ef2c5f seed=0   rows=12 (11.9m, eta 46m)
[ 228/1100] random               5b3926ef2c5f seed=0   rows=12 (11.9m, eta 46m)
[ 229/1100] qlognei              5b3926ef2c5f seed=0   rows=12 (12.1m, eta 46m)
[ 230/1100] qlogei               5b3926ef2c5f seed=0   rows=12 (12.2m, eta 46m)
[ 231/1100] doe                  5b3926ef2c5f seed=0   rows=12 (12.3m, eta 46m)
[ 232/1100] spade_cf_m0          5b3926ef2c5f seed=1   rows=12 (12.3m, eta 46m)
[ 233/1100] spade_cf_m4          5b3926ef2c5f seed=1   rows=12 (12.3m, eta 46m)
[ 234/1100] spade_cf_m8          5b3926ef2c5f seed=1   rows=12 (12.4m, eta 46m)
[ 235/1100] spade_plate1_only    5b3926ef2c5f seed=1   rows=12 (12.4m, eta 46m)
[ 236/1100] spade_random_plate2  5b3926ef2c5f seed=1   rows=12 (12.4m, eta 46m)
[ 237/1100] sobol                5b3926ef2c5f seed=1   rows=12 (12.5m, eta 45m)
[ 238/1100] lhs                  5b3926ef2c5f seed=1   rows=12 (12.5m, eta 45m)
[ 239/1100] random               5b3926ef2c5f seed=1   rows=12 (12.5m, eta 45m)
[ 240/1100] qlognei              5b3926ef2c5f seed=1   rows=12 (12.7m, eta 45m)
[ 241/1100] qlogei               5b3926ef2c5f seed=1   rows=12 (12.8m, eta 46m)
[ 242/1100] doe                  5b3926ef2c5f seed=1   rows=12 (12.8m, eta 45m)
[ 243/1100] spade_cf_m0          763e0f589258 seed=0   rows=12 (12.9m, eta 45m)
[ 244/1100] spade_cf_m4          763e0f589258 seed=0   rows=12 (12.9m, eta 45m)
[ 245/1100] spade_cf_m8          763e0f589258 seed=0   rows=12 (12.9m, eta 45m)
[ 246/1100] spade_plate1_only    763e0f589258 seed=0   rows=12 (13.0m, eta 45m)
[ 247/1100] spade_random_plate2  763e0f589258 seed=0   rows=12 (13.0m, eta 45m)
[ 248/1100] sobol                763e0f589258 seed=0   rows=12 (13.0m, eta 45m)
[ 249/1100] lhs                  763e0f589258 seed=0   rows=12 (13.0m, eta 45m)
